datetime,new_dinner,dinner_rice,dinner_soup,dinner_main,dinner_number
2016-02-01,N,밥,육개장,자반고등어구이,331.0
2016-02-02,N,콩나물밥*양념장,어묵국,유산슬,560.0
2016-02-03,N,밥,청국장찌개,황태양념구이,573.0
2016-02-04,N,미니김밥*겨자장,우동,멕시칸샐러드,525.0
2016-02-05,N,밥,차돌박이찌개,닭갈비,330.0
2016-02-11,N,참치회덮밥,맑은국,군만두,550.0
2016-02-12,N,밥,김치콩나물국,미니함박,598.0
2016-02-15,N,밥,홍합미역국,등갈비김치찜,672.0
2016-02-16,N,밥,된장찌개,쇠불고기,523.0
2016-02-17,N,볶음밥*자장소스,맑은국,새우또띠아,588.0
2016-02-18,N,밥,순두부찌개,명태조림,489.0
2016-02-19,N,밥,설렁탕,김치전,597.0
2016-02-22,N,밥,옹심이만두국,떡갈비조림,645.0
2016-02-23,N,밥,콩비지찌개,해물까스&타르타르소스,610.0
2016-02-24,N,밥,열무된장국,매운돼지갈비찜,514.0
2016-02-25,N,김밥,잔치국수,교자만두,531.0
2016-02-26,N,밥,닭개장,삼치구이,585.0
2016-02-29,N,밥,버섯들깨탕,꽁치한마리구이,344.0
2016-03-02,N,밥,된장찌개,버섯불고기,631.0
2016-03-03,N,멸치주먹밥,우동,떡볶이,473.0
2016-03-04,N,밥,오징어국,미트볼조림,673.0
2016-03-07,N,밥,대구찌개,돈육굴소스볶음,625.0
2016-03-08,N,카레덮밥,가쯔오장국,수제고로케*케찹,609.0
2016-03-09,N,밥,육개장,생선까스*탈탈소스,523.0
2016-03-10,N,볶음밥,짬뽕,개성감자만두,525.0
2016-03-11,N,밥,연두부탕,코다리무조림,591.0
2016-03-14,N,밥,달래된장찌개,간장찜닭,586.0
2016-03-15,N,짜장잡채덮밥,계란파국,참치야채전,545.0
2016-03-16,N,밥,뼈해장국,해물청경채볶음,531.0
2016-03-17,N,토마토스파게티,양송이스프,미니햄버거,548.0
2016-03-18,N,밥,닭곰탕,임연수찜,521.0
2016-03-21,N,밥,수제비국,아귀콩나물찜,605.0
2016-03-22,N,굴소스파인볶음밥,가쯔오장국,찹쌀순대볶음,585.0
2016-03-23,N,밥,알탕,동그랑땡전,544.0
2016-03-24,N,참치회덮밥,미소장국,군만두,507.0
2016-03-25,N,밥,냉이된장찌개,누룽지탕수육,523.0
2016-03-28,N,밥,콩비지찌개,유산슬,637.0
2016-03-29,N,햄볶음밥,유부장국,돈육씨앗강정,465.0
2016-03-30,N,밥,어묵국,등갈비김치찜,463.0
2016-03-31,N,주먹밥,잔치국수,또띠아피자,526.0
2016-04-01,N,밥,쇠고기미역국,순살깐풍기,591.0
2016-04-04,N,밥,된장찌개,고등어조림,614.0
2016-04-05,N,김치볶음밥,가쯔오장국,감자치즈구이,555.0
2016-04-06,N,밥,매운버섯국,찜닭,492.0
2016-04-07,N,김밥,우동,야채튀김,524.0
2016-04-08,N,밥,오징어국,미니함박,542.0
2016-04-11,N,밥,쇠고기무국,가자미찜,536.0
2016-04-12,N,치킨마요덮밥,유부주머니국,떡볶이,500.0
2016-04-14,N,비빔밥,팽이버섯장국,새우또띠아,562.0
2016-04-15,N,밥,들깨미역국,수제돈가스,582.0
2016-04-18,N,밥,꽃게탕,유산슬,525.0
2016-04-19,N,낙지비빔밥,유부장국,새싹피자,449.0
2016-04-20,N,밥,어묵국,닭볶음탕,504.0
2016-04-21,N,오므라이스,팽이버섯국,해물까스*탈탈소스,531.0
2016-04-22,N,밥,순두부찌개,탕수어,557.0
2016-04-25,N,밥,알탕,순살깐풍기,528.0
2016-04-26,N,짜장덮밥,맑은국,쇠고기퀘사디아,568.0
2016-04-27,N,밥,청국장찌개,코다리무조림,490.0
2016-04-28,N,참치주먹밥,비빔메밀국수,가쯔오장국,508.0
2016-04-29,N,밥,들깨버섯탕,고추잡채*꽃빵,507.0
2016-05-02,N,밥,북어국,고추장불고기,551.0
2016-05-03,N,밥,부대찌개*라면사리,탕수육,515.0
2016-05-04,N,카레덮밥,미소장국,수제미니햄버거,636.0
2016-05-09,N,밥,닭개장,가자미튀김,591.0
2016-05-10,N,김치볶음밥/계란,가쯔오국,찹쌀순대볶음,519.0
2016-05-11,N,밥,콩비지찌개,해물누룽지탕,423.0
2016-05-12,N,돈까스김밥,잔치국수,멕시칸샐러드,532.0
2016-05-13,N,밥,쇠고기무국,코다리강정,517.0
2016-05-16,N,밥,닭곰탕,주꾸미볶음,594.0
2016-05-17,N,유부초밥,우동,떡볶이,633.0
2016-05-18,N,밥,뼈해장국,황태양념구이,456.0
2016-05-19,N,새우살볶음밥,팽이장국,사천식탕수육,529.0
2016-05-20,N,밥,육개장,꽁치허브구이,487.0
2016-05-23,N,밥,수제비국,데리야끼파닭,613.0
2016-05-24,N,참치회덮밥,맑은국,고구마치즈구이,465.0
2016-05-25,N,밥,된장찌개,등갈비김치찜,454.0
2016-05-26,N,짜장잡채밥,계란파국,춘권*칠리소스,520.0
2016-05-27,N,밥,꽃게탕,돈육청경채볶음,493.0
2016-05-30,N,밥,해물순두부찌개,미니함박조림,631.0
2016-05-31,N,참치주먹밥,쌀국수,수제고로케*케찹,535.0
2016-06-01,N,밥,어묵국,고추장불고기,490.0
2016-06-02,N,날치알볶음밥,유부장국,고추잡채*꽃빵,483.0
2016-06-03,N,밥,시래기국,수제돈까스,548.0
2016-06-07,N,콩나물밥*양념장,가쯔오장국,미트볼케찹조림,629.0
2016-06-08,N,밥,육개장,자반고등어구이,500.0
2016-06-09,N,충무김밥,열무물국수,오징어무침,506.0
2016-06-10,N,밥,어묵국,버섯불고기,509.0
2016-06-13,N,밥,들깨버섯탕,삼치데리야끼구이,590.0
2016-06-14,N,오므라이스,미소장국,훈제오리냉채,593.0
2016-06-15,N,밥,닭개장,해물청경채볶음,535.0
2016-06-16,N,유부초밥,냉모밀국수,치킨핑거*요거트D,524.0
2016-06-17,N,밥,소고기미역국,유산슬,484.0
2016-06-20,N,밥,호박잎찌개,쇠불고기,585.0
2016-06-21,N,김밥/맑은국,비빔국수,콘샐러드,645.0
2016-06-22,N,밥,닭곰탕,찹쌀순대볶음,467.0
2016-06-23,N,작은밥/맑은국,토마토스파게티,양송이스프,588.0
2016-06-24,N,밥,순두부찌개,해물누룽지탕,475.0
2016-06-27,N,밥,김치찌개,모둠장조림,609.0
2016-06-28,N,볶음밥/짜장소스,계란국,탕수만두,535.0
2016-06-29,N,밥,청국장찌개,아귀콩나물찜,487.0
2016-06-30,N,주먹밥,김치말이국수,감자버터구이,446.0
2016-07-01,N,밥,차돌박이된장찌개,깐풍기,513.0
2016-07-04,N,밥,열무된장국,닭볶음탕,582.0
2016-07-05,N,굴소스파인볶음밥,맑은국,탕수어,551.0
2016-07-06,N,밥,시금치국,오징어볶음,484.0
2016-07-07,N,밥,함박스테이크,단호박스프,494.0
2016-07-08,N,밥,알탕,고추잡채*꽃빵,534.0
2016-07-11,N,밥,부대찌개,가자미튀김,630.0
2016-07-12,N,볶음밥,쌀국수,수제핫도그,519.0
2016-07-13,N,밥,쇠고기샤브국,황태양념구이,483.0
2016-07-14,N,멸치주먹밥,물냉면,과일샐러드,550.0
2016-07-15,N,밥,오징어국,쇠고기장조림,503.0
2016-07-18,N,밥,느타리버섯국,고등어카레구이,596.0
2016-07-19,N,콩나물밥,맑은국,너비아니*부추생채,424.0
2016-07-20,N,밥,동태찌개,치킨핑거,443.0
2016-07-21,N,볶음밥*자장소스,계란파국,유산슬,446.0
2016-07-22,N,밥,돈육김치찌개,깐풍기,501.0
2016-07-25,N,밥,콩가루배추국,돈까스,584.0
2016-07-26,N,충무김밥,잔치국수,오징어무침,582.0
2016-07-27,N,밥,어묵국,닭볶음탕,423.0
2016-07-28,N,카레라이스,맑은국,순대야채볶음,434.0
2016-07-29,N,밥,아욱국,등뼈묵은지찜,472.0
2016-08-01,N,밥,콩나물국,소불고기,510.0
2016-08-02,N,밥,짬뽕수제비국,모둠장조림,515.0
2016-08-03,N,주먹밥,냉모밀국수,소고기퀘사디아,363.0
2016-08-04,N,오므라이스,가쯔오장국,떡볶이,456.0
2016-08-05,N,밥,쇠고기무국,쭈꾸미볶음,448.0
2016-08-08,N,밥,북어국,찜닭,480.0
2016-08-09,N,작은밥,콩국수,멕시칸샐러드,470.0
2016-08-10,N,밥,닭개장,해물청경채볶음,451.0
2016-08-11,N,볶음밥,스파게티/크림스프,치킨텐더,530.0
2016-08-12,N,밥,김치찌개,삼치된장구이,410.0
2016-08-16,N,김밥볶음밥,미소장국,과일샐러드,561.0
2016-08-17,N,밥,콩비지찌개,돈육굴소스볶음,465.0
2016-08-18,N,유부초밥,김치우동,왕새우튀김,574.0
2016-08-19,N,밥,된장찌개,훈제오리/무쌈/양파절임,532.0
2016-08-22,N,밥,무채국,돈육볶음,729.0
2016-08-23,N,김치볶음밥,유부장국,허니버터옥수수,563.0
2016-08-24,N,밥,감자국,등갈비김치찜,588.0
2016-08-25,N,콩국수,작은밥,춘권,508.0
2016-08-26,N,밥,콩나물냉국,주꾸미볶음,489.0
2016-08-29,N,밥,차돌박이찌개,닭갈비,568.0
2016-08-30,N,굴소스해물볶음밥,맑은국,수제고로케*케찹,514.0
2016-08-31,N,밥,청국장찌개,깐풍육,498.0
2016-09-01,N,참치주먹밥,로제파스타/스프,고구마치즈구이,468.0
2016-09-02,N,밥,알탕,돈육장조림,460.0
2016-09-05,N,밥,어묵국,제육볶음,554.0
2016-09-06,N,볶음밥/짜장소스,유부장국,멕시칸샐러드,560.0
2016-09-07,N,밥,얼갈이된장국,닭오븐구이,504.0
2016-09-08,N,김밥,잔치국수,새우까스*타르타르,548.0
2016-09-09,N,밥,쇠고기미역국,자반고등어구이,485.0
2016-09-12,N,볶음밥,쌀국수,미니햄버거,504.0
2016-09-13,N,밥,참치김치찌개,주꾸미볶음,238.0
2016-09-19,N,밥,수제비국,탕평채,662.0
2016-09-20,N,콩나물밥,맑은국,장어강정,627.0
2016-09-21,N,밥,고추장찌개,쇠고기모둠장조림,603.0
2016-09-22,N,유부초밥,꼬지어묵우동,모듬떡볶이,533.0
2016-09-23,N,밥,콩나물국,수제돈까스,562.0
2016-09-26,N,밥,무채맑은국,갈치조림,710.0
2016-09-27,N,쇠고기숙주규동덮밥,미소장국,탕수어,550.0
2016-09-28,N,밥,조갯살미역국,미니채소떡갈비,591.0
2016-09-29,N,충무김밥,잔치국수,오징어무침,622.0
2016-09-30,N,밥,근대된장국,돈육강정,539.0
2016-10-04,N,밥,콩비지찌개,닭볶음,902.0
2016-10-05,N,밥,순두부찌개,미니함박조림,905.0
2016-10-06,N,작은밥,짬뽕,군만두,352.0
2016-10-07,N,밥,육개장,코다리엿장조림,554.0
2016-10-10,N,밥,콩나물국,돈육굴소스볶음,546.0
2016-10-11,N,김치볶음밥,미소장국,궁중떡볶음,522.0
2016-10-12,N,밥,황태국,닭오븐구이,527.0
2016-10-13,N,통새우김밥,어묵우동,찹쌀순대볶음,667.0
2016-10-14,N,밥,부대찌개,탕수어,544.0
2016-10-17,N,밥,해물된장찌개,닭매운찜,527.0
2016-10-18,N,나가사키면&김,참치주먹밥,개성감자만두,544.0
2016-10-19,N,밥,어묵국,돼지갈비찜,475.0
2016-10-20,N,옛날왕돈까스,옥수수스프,샐러드파스타,564.0
2016-10-21,N,밥,닭개장,해물청경채볶음,442.0
2016-10-24,N,밥,북어계란국,닭강정,600.0
2016-10-25,N,오므라이스,가쯔오장국,훈제오리냉채,559.0
2016-10-26,N,밥,쇠고기샤브국,가자미찜,410.0
2016-10-27,N,밥,바지락수제비,유산슬,454.0
2016-10-28,N,밥,오징어국,떡갈비조림,475.0
2016-10-31,N,밥,부대찌개,삼치구이,540.0
2016-11-01,N,짜장덮밥,해물짬뽕,군만두,578.0
2016-11-02,N,밥,청국장찌개,동파삼겹수육,540.0
2016-11-03,N,참치회덮밥,미소장국,새우또띠아/음료,553.0
2016-11-04,N,밥,순두부찌개,돈육굴소스볶음,497.0
2016-11-07,N,밥,목살김치찌개,가자미튀김,506.0
2016-11-08,N,낙지볶음덮밥,맑은국,언양식불고기,512.0
2016-11-09,N,밥,뼈해장국,고등어양념구이,499.0
2016-11-10,N,김밥,계란국,해물볶음우동,513.0
2016-11-11,N,밥,닭곰탕,미트볼떡조림,426.0
2016-11-14,N,밥,콩나물국,매운돼지갈비찜,539.0
2016-11-15,N,굴소스해물볶음밥,미소장국,미니햄버거,418.0
2016-11-16,N,밥,동태찌개,수제돈까스,463.0
2016-11-17,N,생선초밥,우동,떡볶이,551.0
2016-11-18,N,밥,육개장,탕수어,388.0
2016-11-21,N,밥,황태국,등갈비김치찜,616.0
2016-11-22,N,후난식볶음밥,팽이장국,새우까스*탈탈소스,580.0
2016-11-23,N,밥,소고기미역국,쭈꾸미볶음,482.0
2016-11-24,N,멸치주먹밥,잔치국수,또띠아피자,498.0
2016-11-25,N,밥,된장찌개,장어강정,392.0
2016-11-28,N,밥,시금치된장국,닭강정,623.0
2016-11-29,N,참치주먹밥,짬뽕,야채튀김,587.0
2016-11-30,N,None,None,None,0.0
2016-12-01,N,김치볶음밥,미소장국,수제고로케*케찹,571.0
2016-12-02,N,밥,오징어국,미니함박조림,448.0
2016-12-05,N,밥,매운감자국,소고기숙주볶음,560.0
2016-12-06,N,유부초밥,쌀국수,단호박조림,593.0
2016-12-07,N,밥,부대찌개,유린기,468.0
2016-12-08,N,김밥,계란국,해물볶음우동,512.0
2016-12-09,N,밥,쇠고기무국,주꾸미볶음,416.0
2016-12-12,N,밥,대구지리,유산슬,544.0
2016-12-13,N,주먹밥,양송이스프,토마토스파게티,482.0
2016-12-14,N,밥,매생이굴국,간장찜닭,441.0
2016-12-15,N,오므라이스,팽이장국,해물떡볶이,499.0
2016-12-16,N,밥,미역국,등갈비김치찜,518.0
2016-12-19,N,밥,육개장,탕수어,482.0
2016-12-20,N,충무김밥,잔치국수,오징어무침,461.0
2016-12-21,N,밥,알탕,돈육장조림,494.0
2016-12-22,N,작은밥,바지락수제비,사천식탕수육,213.0
2016-12-23,N,밥,돈육김치찌개,궁중떡볶음,398.0
2016-12-26,N,밥,청국장찌개,가자미양념찜,328.0
2016-12-27,N,해물굴소스볶음밥,맑은국,돈육강정,314.0
2016-12-28,N,None,None,None,0.0
2016-12-29,N,참치주먹밥,김치우동,쇠고기퀘사디아,343.0
2016-12-30,N,밥,봄동된장국,닭볶음탕,275.0
2017-01-02,N,밥,매운오징어국,목살간장조림,559.0
2017-01-03,N,참치회덮밥,유부주머니국,수제고로케,364.0
2017-01-04,N,밥,감자찌개,닭데리야끼구이,427.0
2017-01-05,N,마파두부덮밥,팽이장국,류산슬,531.0
2017-01-06,N,밥,들깨무채국,등갈비묵은지찜,523.0
2017-01-09,N,밥,콩비지찌개,양파치킨,620.0
2017-01-10,N,김치참치주먹밥,가쯔오국,로제스파게티,533.0
2017-01-11,N,밥,해물된장찌개,제육볶음,514.0
2017-01-12,N,밥,뼈감자탕,삼치된장구이,416.0
2017-01-13,N,밥,시래기국,소고기장조림,533.0
2017-01-16,N,밥,감자국,매운돼지갈비찜,571.0
2017-01-17,N,후난식볶음밥,맑은국,닭강정,469.0
2017-01-18,N,밥,쇠고기샤브국,갈치양념조림,394.0
2017-01-19,N,김밥,새우튀김우동,펜네베이컨샐러드,499.0
2017-01-20,N,밥,부대찌개,해물청경채볶음,446.0
2017-01-23,N,밥,쇠고기매운국,버섯탕수,509.0
2017-01-24,N,멸치주먹밥,잔치국수,쇠고기퀘사디아,396.0
2017-01-25,N,None,None,None,0.0
2017-01-26,N,밥,시래기들깨탕,돈육강정,147.0
2017-01-31,N,김치볶음밥,꼬지어묵우동,해물까스*탈탈소스,680.0
2017-02-01,N,밥,차돌박이찌개,장어강정,566.0
2017-02-02,N,쇠고기덮밥,장국,야채튀김,549.0
2017-02-03,N,밥,소고기무국,고등어김치말이,582.0
2017-02-06,N,밥,사골우거지국,탕수어,768.0
2017-02-07,N,밥,순두부찌개,돈육굴소스볶음,554.0
2017-02-08,N,밥,열무된장국,삼겹살구이,548.0
2017-02-09,N,유부초밥,쌀국수,순대오징어볶음,583.0
2017-02-10,N,밥,청국장찌개,미니함박조림,505.0
2017-02-13,N,밥,부대찌개,고등어구이,689.0
2017-02-14,N,짜장덮밥,맑은국,사천식탕수육,566.0
2017-02-15,N,밥,오징어국,돈육장조림,505.0
2017-02-16,N,오므라이스,가쯔오장국,치킨텐더,567.0
2017-02-17,N,밥,콩비지찌개,고추잡채*꽃빵,494.0
2017-02-20,N,밥,얼갈이된장국,간장찜닭,648.0
2017-02-21,N,날치알김치볶음밥,미역장국,쇠고기퀘사디아,559.0
2017-02-22,N,None,None,None,0.0
2017-02-23,N,참치주먹밥,김치우동,케이준샐러드,534.0
2017-02-24,N,밥,쇠고기샤브국,가자미양념찜,463.0
2017-02-27,N,밥,황태국,짬뽕불고기,563.0
2017-02-28,N,김밥,꼬치어묵탕,쫄면야채무침,536.0
2017-03-02,N,후난식볶음밥,잔치국수,새우또띠아,593.0
2017-03-03,N,밥,해물된장찌개,소고기모듬장조림,578.0
2017-03-06,N,밥,김치두부국,쇠불고기,658.0
2017-03-07,N,참치야채비빔밥,맑은국,수제고로케,545.0
2017-03-08,N,밥,차돌박이찌개,코다리강정,518.0
2017-03-09,N,김밥볶음밥,팽이장국,볶음우동,519.0
2017-03-10,N,밥,미역국,궁중떡찜,461.0
2017-03-13,N,밥,육개장,갈치조림,596.0
2017-03-14,N,콩나물밥,가쯔오장국,주꾸미볶음,533.0
2017-03-15,N,밥,북어계란국,등갈비김치찜,486.0
2017-03-16,N,멸치주먹밥,김치말이국수,훈제오리냉채,504.0
2017-03-17,N,밥,열무된장국,미니함박조림,429.0
2017-03-20,N,밥,매운버섯국,누룽지탕수육,556.0
2017-03-21,N,베이컨김치볶음밥,미소장국,로제파스타,647.0
2017-03-22,N,None,None,None,0.0
2017-03-23,N,통새우김밥,짬뽕,고구마치즈구이,557.0
2017-03-24,N,밥,연두부탕,닭강정,518.0
2017-03-27,N,밥,부대찌개,고등어구이,501.0
2017-03-28,N,해물볶음밥,맑은국,비빔메밀국수,504.0
2017-03-29,N,밥,우거지탕,돈까스,474.0
2017-03-30,N,충무김밥,유부우동,오징어무침,497.0
2017-03-31,N,밥,봄동된장국,동태콩나물찜,420.0
2017-04-03,N,밥,콩비지찌개,가자미카레튀김,577.0
2017-04-04,N,참치주먹밥,쌀국수,오징어순대볶음,535.0
2017-04-05,N,밥,미역장국,유자청돈육볶음,391.0
2017-04-06,N,김치볶음밥/계란,유부주머니국,쇠고기퀘사디아,436.0
2017-04-07,N,밥,매운어묵국,순살닭갈비,431.0
2017-04-10,N,밥,무채국,치즈시즈닝치킨,541.0
2017-04-11,N,밥,카레돈까스정식,미소장국,535.0
2017-04-12,N,밥,순두부찌개,삼치구이,384.0
2017-04-13,N,유부초밥,잔치국수,수제핫도그,521.0
2017-04-14,N,밥,청국장찌개,돈육장조림,402.0
2017-04-17,N,밥,쇠고기무국,고등어조림,479.0
2017-04-18,N,나가사끼짬뽕,야채볶음밥,치킨핑거*요거트D,567.0
2017-04-19,N,밥,닭개장,갈치구이,408.0
2017-04-20,N,오므라이스,가쯔오장국,떡볶이,511.0
2017-04-21,N,밥,열무된장국,돈육강정,353.0
2017-04-24,N,밥,오징어국,쇠고기숙주볶음,531.0
2017-04-25,N,멸치주먹밥,양송이스프,토마토스파게티,510.0
2017-04-26,N,None,None,None,0.0
2017-04-27,N,닭갈비볶음밥,어묵국,크림카레우동,442.0
2017-04-28,N,밥,얼갈이된장국,주꾸미떡볶음,362.0
2017-05-02,N,밥,순두부찌개,돈육굴소스볶음,298.0
2017-05-04,N,야채볶음밥,유부주머니국,미니버거,262.0
2017-05-08,N,밥,육개장,꽁치오븐구이,308.0
2017-05-10,N,밥,연두부탕,닭오븐구이,500.0
2017-05-11,N,볶음밥/짜장소스,맑은국,사천식탕수육,501.0
2017-05-12,N,밥,청국장찌개,돼지갈비찜,507.0
2017-05-15,N,밥,닭개장,가자미카레튀김,505.0
2017-05-16,N,꼬마김밥*겨자장,잔치국수,감자만두,533.0
2017-05-17,N,밥,차돌박이찌개,갈치양념조림,484.0
2017-05-18,N,밥,옛날돈가스,옥수수스프,459.0
2017-05-19,N,밥,배추된장국,쇠고기숙주볶음,414.0
2017-05-22,N,밥,연두부찌개,코다리조림,585.0
2017-05-23,N,볶음밥,짬뽕,탕수육,545.0
2017-05-24,N,밥,꽃게탕,모둠장조림,387.0
2017-05-25,N,마파두부덮밥,유부장국,수제고로케,456.0
2017-05-26,N,밥,된장찌개,치즈닭갈비,462.0
2017-05-29,N,밥,우거지해장국,임연수엿장조림,555.0
2017-05-30,N,김밥,맑은국,쫄면야채무침,579.0
2017-05-31,N,None,None,None,0.0
2017-06-01,N,주먹밥,단호박스프,로제스파게티,505.0
2017-06-02,N,밥,새알만두국,팝콘치킨*데리야끼소스,480.0
2017-06-05,N,밥,감자고추장찌개,탕수어,306.0
2017-06-07,N,밥,열무된장국,돼지갈비찜,549.0
2017-06-08,N,김밥볶음밥,냉모밀국수,야채튀김,443.0
2017-06-09,N,밥,쇠고기미역국,가자미양념찜,460.0
2017-06-12,N,밥,된장찌개,돈육강정,552.0
2017-06-13,N,참치회덮밥,미소장국,고구마치즈구이,540.0
2017-06-14,N,밥,알탕,미트볼케찹조림,408.0
2017-06-15,N,볶음밥,열무김치국수,부추만두,443.0
2017-06-16,N,밥,참치김치찌개,쇠고기장조림,383.0
2017-06-19,N,밥,감자국,닭데리야끼조림,489.0
2017-06-20,N,충무김밥,미역장국,오징어무침,508.0
2017-06-21,N,밥,해물된장찌개,고추잡채*꽃빵,445.0
2017-06-22,N,소고기주먹밥,쌀국수,또띠아피자,451.0
2017-06-23,N,밥,콩비지찌개,탕수어,441.0
2017-06-26,N,밥,연두부찌개,탕수육,539.0
2017-06-27,N,콩국수,작은밥,탄두리치킨,575.0
2017-06-28,N,None,None,None,0.0
2017-06-29,N,빠에야,올챙이만두국,웨지감자,451.0
2017-06-30,N,밥,청국장찌개,장어강정,370.0
2017-07-03,N,밥,육개장,고등어카레구이,501.0
2017-07-04,N,후난식볶음밥,가쯔오장국,닭강정,432.0
2017-07-05,N,밥,대구찌개,돈육굴소스볶음,340.0
2017-07-06,N,김밥,잔치국수,수제고로케,501.0
2017-07-07,N,밥,순두부찌개,해물까스*탈탈소스,472.0
2017-07-10,N,밥,감자국,사천식탕수육,527.0
2017-07-11,N,오므라이스,미소장국,새우또띠아,444.0
2017-07-12,N,밥,해물된장찌개,모둠장조림,414.0
2017-07-13,N,유부초밥,김치말이국수,풋고추튀김,461.0
2017-07-14,N,밥,고추장찌개,미니함박조림,485.0
2017-07-17,N,밥,꽃게탕,소고기장조림,500.0
2017-07-18,N,목살필라프,단호박스프,토마토스파게티,513.0
2017-07-19,N,밥,호박잎된장찌개,언양식불고기,457.0
2017-07-20,N,카레라이스,유부장국,해물볶음우동,429.0
2017-07-21,N,밥,육개장,꽁치구이,410.0
2017-07-24,N,밥,콩가루배추국,고추잡채*꽃빵,486.0
2017-07-25,N,빠에야,냉모밀국수,비빔야채만두,514.0
2017-07-26,N,None,None,None,0.0
2017-07-27,N,마파두부덮밥,미역장국,탕수육,486.0
2017-07-28,N,밥,닭개장,생선까스*탈탈소스,459.0
2017-07-31,N,밥,아욱국,돈육씨앗강정,455.0
2017-08-01,N,김밥볶음밥,잔치국수,훈제오리냉채,509.0
2017-08-02,N,밥,느타리버섯국,탕수어,337.0
2017-08-03,N,콩나물밥,가쯔오장국,쇠고기장조림,401.0
2017-08-04,N,밥,차돌박이찌개,치킨텐더,354.0
2017-08-07,N,밥,근대국,등갈비김치찜,497.0
2017-08-08,N,해물굴소스볶음밥,가쯔오장국,비빔메밀국수,445.0
2017-08-09,N,밥,뼈해장국,고등어조림,372.0
2017-08-10,N,멸치주먹밥,물냉면,케이준샐러드,438.0
2017-08-11,N,밥,오징어국,깐풍기,393.0
2017-08-14,N,밥,콩가루배추국,양파치킨,275.0
2017-08-16,N,밥,콩나물국,돼지갈비찜,433.0
2017-08-17,N,김치볶음밥,어묵우동,미니햄버거,507.0
2017-08-18,N,밥,해물순두부찌개,유자청제육볶음,484.0
2017-08-21,N,밥,참치김치찌개,안동찜닭,673.0
2017-08-22,N,충무김밥,유부주머니국,오징어무침,604.0
2017-08-23,N,밥,청국장찌개,돈육모듬장조림,537.0
2017-08-24,N,김치주먹밥,콩국수,타코야끼,489.0
2017-08-25,N,밥,고추장찌개,생선까스*탈탈소스,354.0
2017-08-28,N,밥,닭곰탕,고등어김치말이,514.0
2017-08-29,N,유부초밥,냉모밀국수,깐풍육,609.0
2017-08-30,N,밥,부대찌개,해물청경채볶음,395.0
2017-08-31,N,밥,옛날돈까스,브로컬리크림스프,487.0
2017-09-01,N,None,None,None,0.0
2017-09-04,N,밥,콩나물김치국,가자미튀김,581.0
2017-09-05,N,닭갈비볶음밥,가쯔오장국,크림카레우동,518.0
2017-09-06,N,밥,해물된장찌개,돈육굴소스볶음,503.0
2017-09-07,N,볶음밥/짜장소스,맑은국,고추잡채*꽃빵,455.0
2017-09-08,N,밥,콩비지찌개,유린기,494.0
2017-09-11,N,밥,소고기무국,주꾸미굴소스볶음,510.0
2017-09-12,N,김밥,잔치국수,야채튀김,540.0
2017-09-13,N,밥,미역국,돼지갈비찜,476.0
2017-09-14,N,빠에야,쌀국수,고구마오븐구이,437.0
