datetime,month,date,weekdays,season,vacation
2016-02-01,02,01,월,겨울,0
2016-02-02,02,02,화,겨울,0
2016-02-03,02,03,수,겨울,0
2016-02-04,02,04,목,겨울,0
2016-02-05,02,05,금,겨울,1
2016-02-11,02,11,목,겨울,0
2016-02-12,02,12,금,겨울,0
2016-02-15,02,15,월,겨울,0
2016-02-16,02,16,화,겨울,0
2016-02-17,02,17,수,겨울,0
2016-02-18,02,18,목,겨울,0
2016-02-19,02,19,금,겨울,0
2016-02-22,02,22,월,겨울,0
2016-02-23,02,23,화,겨울,0
2016-02-24,02,24,수,겨울,0
2016-02-25,02,25,목,겨울,0
2016-02-26,02,26,금,겨울,0
2016-02-29,02,29,월,겨울,1
2016-03-02,03,02,수,봄,0
2016-03-03,03,03,목,봄,0
2016-03-04,03,04,금,봄,0
2016-03-07,03,07,월,봄,0
2016-03-08,03,08,화,봄,0
2016-03-09,03,09,수,봄,0
2016-03-10,03,10,목,봄,0
2016-03-11,03,11,금,봄,0
2016-03-14,03,14,월,봄,0
2016-03-15,03,15,화,봄,0
2016-03-16,03,16,수,봄,0
2016-03-17,03,17,목,봄,0
2016-03-18,03,18,금,봄,0
2016-03-21,03,21,월,봄,0
2016-03-22,03,22,화,봄,0
2016-03-23,03,23,수,봄,0
2016-03-24,03,24,목,봄,0
2016-03-25,03,25,금,봄,0
2016-03-28,03,28,월,봄,0
2016-03-29,03,29,화,봄,0
2016-03-30,03,30,수,봄,0
2016-03-31,03,31,목,봄,0
2016-04-01,04,01,금,봄,0
2016-04-04,04,04,월,봄,0
2016-04-05,04,05,화,봄,0
2016-04-06,04,06,수,봄,0
2016-04-07,04,07,목,봄,0
2016-04-08,04,08,금,봄,0
2016-04-11,04,11,월,봄,0
2016-04-12,04,12,화,봄,1
2016-04-14,04,14,목,봄,0
2016-04-15,04,15,금,봄,0
2016-04-18,04,18,월,봄,0
2016-04-19,04,19,화,봄,0
2016-04-20,04,20,수,봄,0
2016-04-21,04,21,목,봄,0
2016-04-22,04,22,금,봄,0
2016-04-25,04,25,월,봄,0
2016-04-26,04,26,화,봄,0
2016-04-27,04,27,수,봄,0
2016-04-28,04,28,목,봄,0
2016-04-29,04,29,금,봄,0
2016-05-02,05,02,월,봄,0
2016-05-03,05,03,화,봄,0
2016-05-04,05,04,수,봄,1
2016-05-09,05,09,월,봄,0
2016-05-10,05,10,화,봄,0
2016-05-11,05,11,수,봄,0
2016-05-12,05,12,목,봄,0
2016-05-13,05,13,금,봄,0
2016-05-16,05,16,월,봄,0
2016-05-17,05,17,화,봄,0
2016-05-18,05,18,수,봄,0
2016-05-19,05,19,목,봄,0
2016-05-20,05,20,금,봄,0
2016-05-23,05,23,월,봄,0
2016-05-24,05,24,화,봄,0
2016-05-25,05,25,수,봄,0
2016-05-26,05,26,목,봄,0
2016-05-27,05,27,금,봄,0
2016-05-30,05,30,월,봄,0
2016-05-31,05,31,화,봄,0
2016-06-01,06,01,수,여름,0
2016-06-02,06,02,목,여름,0
2016-06-03,06,03,금,여름,1
2016-06-07,06,07,화,여름,0
2016-06-08,06,08,수,여름,0
2016-06-09,06,09,목,여름,0
2016-06-10,06,10,금,여름,0
2016-06-13,06,13,월,여름,0
2016-06-14,06,14,화,여름,0
2016-06-15,06,15,수,여름,0
2016-06-16,06,16,목,여름,0
2016-06-17,06,17,금,여름,0
2016-06-20,06,20,월,여름,0
2016-06-21,06,21,화,여름,0
2016-06-22,06,22,수,여름,0
2016-06-23,06,23,목,여름,0
2016-06-24,06,24,금,여름,0
2016-06-27,06,27,월,여름,0
2016-06-28,06,28,화,여름,0
2016-06-29,06,29,수,여름,0
2016-06-30,06,30,목,여름,0
2016-07-01,07,01,금,여름,0
2016-07-04,07,04,월,여름,0
2016-07-05,07,05,화,여름,0
2016-07-06,07,06,수,여름,0
2016-07-07,07,07,목,여름,0
2016-07-08,07,08,금,여름,0
2016-07-11,07,11,월,여름,0
2016-07-12,07,12,화,여름,0
2016-07-13,07,13,수,여름,0
2016-07-14,07,14,목,여름,0
2016-07-15,07,15,금,여름,0
2016-07-18,07,18,월,여름,0
2016-07-19,07,19,화,여름,0
2016-07-20,07,20,수,여름,0
2016-07-21,07,21,목,여름,0
2016-07-22,07,22,금,여름,0
2016-07-25,07,25,월,여름,0
2016-07-26,07,26,화,여름,0
2016-07-27,07,27,수,여름,0
2016-07-28,07,28,목,여름,0
2016-07-29,07,29,금,여름,0
2016-08-01,08,01,월,여름,0
2016-08-02,08,02,화,여름,0
2016-08-03,08,03,수,여름,0
2016-08-04,08,04,목,여름,0
2016-08-05,08,05,금,여름,0
2016-08-08,08,08,월,여름,0
2016-08-09,08,09,화,여름,0
2016-08-10,08,10,수,여름,0
2016-08-11,08,11,목,여름,0
2016-08-12,08,12,금,여름,1
2016-08-16,08,16,화,여름,0
2016-08-17,08,17,수,여름,0
2016-08-18,08,18,목,여름,0
2016-08-19,08,19,금,여름,0
2016-08-22,08,22,월,여름,0
2016-08-23,08,23,화,여름,0
2016-08-24,08,24,수,여름,0
2016-08-25,08,25,목,여름,0
2016-08-26,08,26,금,여름,0
2016-08-29,08,29,월,여름,0
2016-08-30,08,30,화,여름,0
2016-08-31,08,31,수,여름,0
2016-09-01,09,01,목,가을,0
2016-09-02,09,02,금,가을,0
2016-09-05,09,05,월,가을,0
2016-09-06,09,06,화,가을,0
2016-09-07,09,07,수,가을,0
2016-09-08,09,08,목,가을,0
2016-09-09,09,09,금,가을,0
2016-09-12,09,12,월,가을,0
2016-09-13,09,13,화,가을,1
2016-09-19,09,19,월,가을,0
2016-09-20,09,20,화,가을,0
2016-09-21,09,21,수,가을,0
2016-09-22,09,22,목,가을,0
2016-09-23,09,23,금,가을,0
2016-09-26,09,26,월,가을,0
2016-09-27,09,27,화,가을,0
2016-09-28,09,28,수,가을,0
2016-09-29,09,29,목,가을,0
2016-09-30,09,30,금,가을,1
2016-10-04,10,04,화,가을,0
2016-10-05,10,05,수,가을,0
2016-10-06,10,06,목,가을,0
2016-10-07,10,07,금,가을,0
2016-10-10,10,10,월,가을,0
2016-10-11,10,11,화,가을,0
2016-10-12,10,12,수,가을,0
2016-10-13,10,13,목,가을,0
2016-10-14,10,14,금,가을,0
2016-10-17,10,17,월,가을,0
2016-10-18,10,18,화,가을,0
2016-10-19,10,19,수,가을,0
2016-10-20,10,20,목,가을,0
2016-10-21,10,21,금,가을,0
2016-10-24,10,24,월,가을,0
2016-10-25,10,25,화,가을,0
2016-10-26,10,26,수,가을,0
2016-10-27,10,27,목,가을,0
2016-10-28,10,28,금,가을,0
2016-10-31,10,31,월,가을,0
2016-11-01,11,01,화,가을,0
2016-11-02,11,02,수,가을,0
2016-11-03,11,03,목,가을,0
2016-11-04,11,04,금,가을,0
2016-11-07,11,07,월,가을,0
2016-11-08,11,08,화,가을,0
2016-11-09,11,09,수,가을,0
2016-11-10,11,10,목,가을,0
2016-11-11,11,11,금,가을,0
2016-11-14,11,14,월,가을,0
2016-11-15,11,15,화,가을,0
2016-11-16,11,16,수,가을,0
2016-11-17,11,17,목,가을,0
2016-11-18,11,18,금,가을,0
2016-11-21,11,21,월,가을,0
2016-11-22,11,22,화,가을,0
2016-11-23,11,23,수,가을,0
2016-11-24,11,24,목,가을,0
2016-11-25,11,25,금,가을,0
2016-11-28,11,28,월,가을,0
2016-11-29,11,29,화,가을,0
2016-11-30,11,30,수,가을,0
2016-12-01,12,01,목,겨울,0
2016-12-02,12,02,금,겨울,0
2016-12-05,12,05,월,겨울,0
2016-12-06,12,06,화,겨울,0
2016-12-07,12,07,수,겨울,0
2016-12-08,12,08,목,겨울,0
2016-12-09,12,09,금,겨울,0
2016-12-12,12,12,월,겨울,0
2016-12-13,12,13,화,겨울,0
2016-12-14,12,14,수,겨울,0
2016-12-15,12,15,목,겨울,0
2016-12-16,12,16,금,겨울,0
2016-12-19,12,19,월,겨울,0
2016-12-20,12,20,화,겨울,0
2016-12-21,12,21,수,겨울,0
2016-12-22,12,22,목,겨울,0
2016-12-23,12,23,금,겨울,0
2016-12-26,12,26,월,겨울,0
2016-12-27,12,27,화,겨울,0
2016-12-28,12,28,수,겨울,0
2016-12-29,12,29,목,겨울,0
2016-12-30,12,30,금,겨울,0
2017-01-02,01,02,월,겨울,0
2017-01-03,01,03,화,겨울,0
2017-01-04,01,04,수,겨울,0
2017-01-05,01,05,목,겨울,0
2017-01-06,01,06,금,겨울,0
2017-01-09,01,09,월,겨울,0
2017-01-10,01,10,화,겨울,0
2017-01-11,01,11,수,겨울,0
2017-01-12,01,12,목,겨울,0
2017-01-13,01,13,금,겨울,0
2017-01-16,01,16,월,겨울,0
2017-01-17,01,17,화,겨울,0
2017-01-18,01,18,수,겨울,0
2017-01-19,01,19,목,겨울,0
2017-01-20,01,20,금,겨울,0
2017-01-23,01,23,월,겨울,0
2017-01-24,01,24,화,겨울,0
2017-01-25,01,25,수,겨울,0
2017-01-26,01,26,목,겨울,1
2017-01-31,01,31,화,겨울,0
2017-02-01,02,01,수,겨울,0
2017-02-02,02,02,목,겨울,0
2017-02-03,02,03,금,겨울,0
2017-02-06,02,06,월,겨울,0
2017-02-07,02,07,화,겨울,0
2017-02-08,02,08,수,겨울,0
2017-02-09,02,09,목,겨울,0
2017-02-10,02,10,금,겨울,0
2017-02-13,02,13,월,겨울,0
2017-02-14,02,14,화,겨울,0
2017-02-15,02,15,수,겨울,0
2017-02-16,02,16,목,겨울,0
2017-02-17,02,17,금,겨울,0
2017-02-20,02,20,월,겨울,0
2017-02-21,02,21,화,겨울,0
2017-02-22,02,22,수,겨울,0
2017-02-23,02,23,목,겨울,0
2017-02-24,02,24,금,겨울,0
2017-02-27,02,27,월,겨울,0
2017-02-28,02,28,화,겨울,1
2017-03-02,03,02,목,봄,0
2017-03-03,03,03,금,봄,0
2017-03-06,03,06,월,봄,0
2017-03-07,03,07,화,봄,0
2017-03-08,03,08,수,봄,0
2017-03-09,03,09,목,봄,0
2017-03-10,03,10,금,봄,0
2017-03-13,03,13,월,봄,0
2017-03-14,03,14,화,봄,0
2017-03-15,03,15,수,봄,0
2017-03-16,03,16,목,봄,0
2017-03-17,03,17,금,봄,0
2017-03-20,03,20,월,봄,0
2017-03-21,03,21,화,봄,0
2017-03-22,03,22,수,봄,0
2017-03-23,03,23,목,봄,0
2017-03-24,03,24,금,봄,0
2017-03-27,03,27,월,봄,0
2017-03-28,03,28,화,봄,0
2017-03-29,03,29,수,봄,0
2017-03-30,03,30,목,봄,0
2017-03-31,03,31,금,봄,0
2017-04-03,04,03,월,봄,0
2017-04-04,04,04,화,봄,0
2017-04-05,04,05,수,봄,0
2017-04-06,04,06,목,봄,0
2017-04-07,04,07,금,봄,0
2017-04-10,04,10,월,봄,0
2017-04-11,04,11,화,봄,0
2017-04-12,04,12,수,봄,0
2017-04-13,04,13,목,봄,0
2017-04-14,04,14,금,봄,0
2017-04-17,04,17,월,봄,0
2017-04-18,04,18,화,봄,0
2017-04-19,04,19,수,봄,0
2017-04-20,04,20,목,봄,0
2017-04-21,04,21,금,봄,0
2017-04-24,04,24,월,봄,0
2017-04-25,04,25,화,봄,0
2017-04-26,04,26,수,봄,0
2017-04-27,04,27,목,봄,0
2017-04-28,04,28,금,봄,1
2017-05-02,05,02,화,봄,1
2017-05-04,05,04,목,봄,1
2017-05-08,05,08,월,봄,1
2017-05-10,05,10,수,봄,0
2017-05-11,05,11,목,봄,0
2017-05-12,05,12,금,봄,0
2017-05-15,05,15,월,봄,0
2017-05-16,05,16,화,봄,0
2017-05-17,05,17,수,봄,0
2017-05-18,05,18,목,봄,0
2017-05-19,05,19,금,봄,0
2017-05-22,05,22,월,봄,0
2017-05-23,05,23,화,봄,0
2017-05-24,05,24,수,봄,0
2017-05-25,05,25,목,봄,0
2017-05-26,05,26,금,봄,0
2017-05-29,05,29,월,봄,0
2017-05-30,05,30,화,봄,0
2017-05-31,05,31,수,봄,0
2017-06-01,06,01,목,여름,0
2017-06-02,06,02,금,여름,0
2017-06-05,06,05,월,여름,1
2017-06-07,06,07,수,여름,0
2017-06-08,06,08,목,여름,0
2017-06-09,06,09,금,여름,0
2017-06-12,06,12,월,여름,0
2017-06-13,06,13,화,여름,0
2017-06-14,06,14,수,여름,0
2017-06-15,06,15,목,여름,0
2017-06-16,06,16,금,여름,0
2017-06-19,06,19,월,여름,0
2017-06-20,06,20,화,여름,0
2017-06-21,06,21,수,여름,0
2017-06-22,06,22,목,여름,0
2017-06-23,06,23,금,여름,0
2017-06-26,06,26,월,여름,0
2017-06-27,06,27,화,여름,0
2017-06-28,06,28,수,여름,0
2017-06-29,06,29,목,여름,0
2017-06-30,06,30,금,여름,0
2017-07-03,07,03,월,여름,0
2017-07-04,07,04,화,여름,0
2017-07-05,07,05,수,여름,0
2017-07-06,07,06,목,여름,0
2017-07-07,07,07,금,여름,0
2017-07-10,07,10,월,여름,0
2017-07-11,07,11,화,여름,0
2017-07-12,07,12,수,여름,0
2017-07-13,07,13,목,여름,0
2017-07-14,07,14,금,여름,0
2017-07-17,07,17,월,여름,0
2017-07-18,07,18,화,여름,0
2017-07-19,07,19,수,여름,0
2017-07-20,07,20,목,여름,0
2017-07-21,07,21,금,여름,0
2017-07-24,07,24,월,여름,0
2017-07-25,07,25,화,여름,0
2017-07-26,07,26,수,여름,0
2017-07-27,07,27,목,여름,0
2017-07-28,07,28,금,여름,0
2017-07-31,07,31,월,여름,0
2017-08-01,08,01,화,여름,0
2017-08-02,08,02,수,여름,0
2017-08-03,08,03,목,여름,0
2017-08-04,08,04,금,여름,0
2017-08-07,08,07,월,여름,0
2017-08-08,08,08,화,여름,0
2017-08-09,08,09,수,여름,0
2017-08-10,08,10,목,여름,0
2017-08-11,08,11,금,여름,0
2017-08-14,08,14,월,여름,1
2017-08-16,08,16,수,여름,0
2017-08-17,08,17,목,여름,0
2017-08-18,08,18,금,여름,0
2017-08-21,08,21,월,여름,0
2017-08-22,08,22,화,여름,0
2017-08-23,08,23,수,여름,0
2017-08-24,08,24,목,여름,0
2017-08-25,08,25,금,여름,0
2017-08-28,08,28,월,여름,0
2017-08-29,08,29,화,여름,0
2017-08-30,08,30,수,여름,0
2017-08-31,08,31,목,여름,0
2017-09-01,09,01,금,가을,0
2017-09-04,09,04,월,가을,0
2017-09-05,09,05,화,가을,0
2017-09-06,09,06,수,가을,0
2017-09-07,09,07,목,가을,0
2017-09-08,09,08,금,가을,0
2017-09-11,09,11,월,가을,0
2017-09-12,09,12,화,가을,0
2017-09-13,09,13,수,가을,0
2017-09-14,09,14,목,가을,0
2017-09-15,09,15,금,가을,0
2017-09-18,09,18,월,가을,0
2017-09-19,09,19,화,가을,0
2017-09-20,09,20,수,가을,0
2017-09-21,09,21,목,가을,0
2017-09-22,09,22,금,가을,0
2017-09-25,09,25,월,가을,0
2017-09-26,09,26,화,가을,0
2017-09-27,09,27,수,가을,0
2017-09-28,09,28,목,가을,0
2017-09-29,09,29,금,가을,1
2017-10-10,10,10,화,가을,0
2017-10-11,10,11,수,가을,0
2017-10-12,10,12,목,가을,0
2017-10-13,10,13,금,가을,0
2017-10-16,10,16,월,가을,0
2017-10-17,10,17,화,가을,0
2017-10-18,10,18,수,가을,0
2017-10-19,10,19,목,가을,0
2017-10-20,10,20,금,가을,0
2017-10-23,10,23,월,가을,0
2017-10-24,10,24,화,가을,0
2017-10-25,10,25,수,가을,0
2017-10-26,10,26,목,가을,0
2017-10-27,10,27,금,가을,0
2017-10-30,10,30,월,가을,0
2017-10-31,10,31,화,가을,0
2017-11-01,11,01,수,가을,0
2017-11-02,11,02,목,가을,0
2017-11-03,11,03,금,가을,0
2017-11-06,11,06,월,가을,0
2017-11-07,11,07,화,가을,0
2017-11-08,11,08,수,가을,0
2017-11-09,11,09,목,가을,0
2017-11-10,11,10,금,가을,0
2017-11-13,11,13,월,가을,0
2017-11-14,11,14,화,가을,0
2017-11-15,11,15,수,가을,0
2017-11-16,11,16,목,가을,0
2017-11-17,11,17,금,가을,0
2017-11-20,11,20,월,가을,0
2017-11-21,11,21,화,가을,0
2017-11-22,11,22,수,가을,0
2017-11-23,11,23,목,가을,0
2017-11-24,11,24,금,가을,0
2017-11-27,11,27,월,가을,0
2017-11-28,11,28,화,가을,0
2017-11-29,11,29,수,가을,0
2017-11-30,11,30,목,가을,0
2017-12-01,12,01,금,겨울,0
2017-12-04,12,04,월,겨울,0
2017-12-05,12,05,화,겨울,0
2017-12-06,12,06,수,겨울,0
2017-12-07,12,07,목,겨울,0
2017-12-08,12,08,금,겨울,0
2017-12-11,12,11,월,겨울,0
2017-12-12,12,12,화,겨울,0
2017-12-13,12,13,수,겨울,0
2017-12-14,12,14,목,겨울,0
2017-12-15,12,15,금,겨울,0
2017-12-18,12,18,월,겨울,0
2017-12-19,12,19,화,겨울,0
2017-12-20,12,20,수,겨울,0
2017-12-21,12,21,목,겨울,0
2017-12-22,12,22,금,겨울,1
2017-12-26,12,26,화,겨울,0
2017-12-27,12,27,수,겨울,0
2017-12-28,12,28,목,겨울,0
2017-12-29,12,29,금,겨울,1
2018-01-02,01,02,화,겨울,0
2018-01-03,01,03,수,겨울,0
2018-01-04,01,04,목,겨울,0
2018-01-05,01,05,금,겨울,0
2018-01-08,01,08,월,겨울,0
2018-01-09,01,09,화,겨울,0
2018-01-10,01,10,수,겨울,0
2018-01-11,01,11,목,겨울,0
2018-01-12,01,12,금,겨울,0
2018-01-15,01,15,월,겨울,0
2018-01-16,01,16,화,겨울,0
2018-01-17,01,17,수,겨울,0
2018-01-18,01,18,목,겨울,0
2018-01-19,01,19,금,겨울,0
2018-01-22,01,22,월,겨울,0
2018-01-23,01,23,화,겨울,0
2018-01-24,01,24,수,겨울,0
2018-01-25,01,25,목,겨울,0
2018-01-26,01,26,금,겨울,0
2018-01-29,01,29,월,겨울,0
2018-01-30,01,30,화,겨울,0
2018-01-31,01,31,수,겨울,0
2018-02-01,02,01,목,겨울,0
2018-02-02,02,02,금,겨울,0
2018-02-05,02,05,월,겨울,0
2018-02-06,02,06,화,겨울,0
2018-02-07,02,07,수,겨울,0
2018-02-08,02,08,목,겨울,0
2018-02-09,02,09,금,겨울,0
2018-02-12,02,12,월,겨울,0
2018-02-13,02,13,화,겨울,0
2018-02-14,02,14,수,겨울,1
2018-02-19,02,19,월,겨울,0
2018-02-20,02,20,화,겨울,0
2018-02-21,02,21,수,겨울,0
2018-02-22,02,22,목,겨울,0
2018-02-23,02,23,금,겨울,0
2018-02-26,02,26,월,겨울,0
2018-02-27,02,27,화,겨울,0
2018-02-28,02,28,수,겨울,1
2018-03-02,03,02,금,봄,0
2018-03-05,03,05,월,봄,0
2018-03-06,03,06,화,봄,0
2018-03-07,03,07,수,봄,0
2018-03-08,03,08,목,봄,0
2018-03-09,03,09,금,봄,0
2018-03-12,03,12,월,봄,0
2018-03-13,03,13,화,봄,0
2018-03-14,03,14,수,봄,0
2018-03-15,03,15,목,봄,0
2018-03-16,03,16,금,봄,0
2018-03-19,03,19,월,봄,0
2018-03-20,03,20,화,봄,0
2018-03-21,03,21,수,봄,0
2018-03-22,03,22,목,봄,0
2018-03-23,03,23,금,봄,0
2018-03-26,03,26,월,봄,0
2018-03-27,03,27,화,봄,0
2018-03-28,03,28,수,봄,0
2018-03-29,03,29,목,봄,0
2018-03-30,03,30,금,봄,0
2018-04-02,04,02,월,봄,0
2018-04-03,04,03,화,봄,0
2018-04-04,04,04,수,봄,0
2018-04-05,04,05,목,봄,0
2018-04-06,04,06,금,봄,0
2018-04-09,04,09,월,봄,0
2018-04-10,04,10,화,봄,0
2018-04-11,04,11,수,봄,0
2018-04-12,04,12,목,봄,0
2018-04-13,04,13,금,봄,0
2018-04-16,04,16,월,봄,0
2018-04-17,04,17,화,봄,0
2018-04-18,04,18,수,봄,0
2018-04-19,04,19,목,봄,0
2018-04-20,04,20,금,봄,0
2018-04-23,04,23,월,봄,0
2018-04-24,04,24,화,봄,0
2018-04-25,04,25,수,봄,0
2018-04-26,04,26,목,봄,0
2018-04-27,04,27,금,봄,0
2018-04-30,04,30,월,봄,1
2018-05-02,05,02,수,봄,0
2018-05-03,05,03,목,봄,0
2018-05-04,05,04,금,봄,1
2018-05-08,05,08,화,봄,0
2018-05-09,05,09,수,봄,0
2018-05-10,05,10,목,봄,0
2018-05-11,05,11,금,봄,0
2018-05-14,05,14,월,봄,0
2018-05-15,05,15,화,봄,0
2018-05-16,05,16,수,봄,0
2018-05-17,05,17,목,봄,0
2018-05-18,05,18,금,봄,0
2018-05-21,05,21,월,봄,1
2018-05-23,05,23,수,봄,0
2018-05-24,05,24,목,봄,0
2018-05-25,05,25,금,봄,0
2018-05-28,05,28,월,봄,0
2018-05-29,05,29,화,봄,0
2018-05-30,05,30,수,봄,0
2018-05-31,05,31,목,봄,0
2018-06-01,06,01,월,여름,0
2018-06-04,06,04,월,여름,0
2018-06-05,06,05,화,여름,1
2018-06-07,06,07,목,여름,0
2018-06-08,06,08,금,여름,0
2018-06-11,06,11,월,여름,0
2018-06-12,06,12,화,여름,1
2018-06-14,06,14,목,여름,0
2018-06-15,06,15,금,여름,0
2018-06-18,06,18,월,여름,0
2018-06-19,06,19,화,여름,0
2018-06-20,06,20,수,여름,0
2018-06-21,06,21,목,여름,0
2018-06-22,06,22,금,여름,0
2018-06-25,06,25,월,여름,0
2018-06-26,06,26,화,여름,0
2018-06-27,06,27,수,여름,0
2018-06-28,06,28,목,여름,0
2018-06-29,06,29,금,여름,0
2018-07-02,07,02,월,여름,0
2018-07-03,07,03,화,여름,0
2018-07-04,07,04,수,여름,0
2018-07-05,07,05,목,여름,0
2018-07-06,07,06,금,여름,0
2018-07-09,07,09,월,여름,0
2018-07-10,07,10,화,여름,0
2018-07-11,07,11,수,여름,0
2018-07-12,07,12,목,여름,0
2018-07-13,07,13,금,여름,0
